"word","count"
"coins","16449733"
"andy","16447205"
"gross","16440590"
"strongly","16433047"
"cafe","16432897"
"valentine","16424029"
"hilton","16418219"
"ken","16418119"
"proteins","16404833"
"horror","16402727"
"su","16399691"
"exp","16394663"
"familiar","16390724"
"capable","16380415"
"douglas","16379501"
"debian","16376907"
"till","16376756"
"involving","16376298"
"pen","16371249"
"investing","16370898"
"christopher","16359030"
"admission","16356727"
"epson","16344475"
"shoe","16342426"
"elected","16330663"
"carrying","16328349"
"victory","16328207"
"sand","16327687"
"madison","16320930"
"terrorism","16319906"
"joy","16317856"
"editions","16310699"
"cpu","16304338"
"mainly","16297110"
"ethnic","16295682"
"ran","16291429"
"parliament","16290285"
"actor","16282891"
"finds","16280898"
"seal","16274039"
"situations","16270907"
"fifth","16255266"
"allocated","16246437"
"citizen","16245917"
"vertical","16229818"
"corrections","16226542"
"structural","16226259"
"municipal","16208818"
"describes","16206006"
"prize","16204739"
"sr","16203551"
"occurs","16200452"
"jon","16198666"
"absolute","16198563"
"disabilities","16198516"
"consists","16197547"
"anytime","16192486"
"substance","16186870"
"prohibited","16185593"
"addressed","16180738"
"lies","16180314"
"pipe","16178319"
"soldiers","16175690"
"nr","16167942"
"guardian","16167871"
"lecture","16166157"
"simulation","16164825"
"layout","16159559"
"initiatives","16147630"
"ill","16143967"
"concentration","16134918"
"classics","16132917"
"lbs","16128161"
"lay","16122690"
"interpretation","16105115"
"horses","16104943"
"lol","16103269"
"dirty","16101662"
"deck","16091024"
"wayne","16090093"
"donate","16088860"
"taught","16082512"
"bankruptcy","16075117"
"mp","16074367"
"worker","16072941"
"optimization","16067890"
"alive","16064787"
"temple","16052337"
"substances","16048111"
"prove","16046788"
"discovered","16046554"
"wings","16044458"
"breaks","16043012"
"genetic","16036749"
"restrictions","16033947"
"participating","16019942"
"waters","16019652"
"promise","16019259"
"thin","16007743"
"exhibition","16007404"
"prefer","16005656"
"ridge","15993437"
"cabinet","15989585"
"modem","15984492"
"harris","15977621"
"mph","15975134"
"bringing","15970507"
"sick","15965297"
"dose","15959187"
"evaluate","15957355"
"tiffany","15947875"
"tropical","15944693"
"collect","15943314"
"bet","15943118"
"composition","15940860"
"toyota","15937777"
"streets","15936448"
"nationwide","15932624"
"vector","15924418"
"definitely","15922257"
"shaved","15913301"
"turning","15907811"
"buffer","15904074"
"purple","15903838"
"existence","15903650"
"commentary","15903623"
"larry","15900632"
"limousines","15896017"
"developments","15890766"
"def","15888408"
"immigration","15879176"
"destinations","15877446"
"lets","15876825"
"mutual","15870882"
"pipeline","15869328"
"necessarily","15867816"
"syntax","15843797"
"li","15843713"
"attribute","15839012"
"prison","15837188"
"skill","15835076"
"chairs","15833070"
"nl","15830230"
"everyday","15820001"
"apparently","15815805"
"surrounding","15800079"
"mountains","15790868"
"moves","15789001"
"popularity","15785972"
"inquiry","15783409"
"ethernet","15783362"
"checked","15762226"
"exhibit","15756535"
"throw","15751985"
"trend","15747018"
"sierra","15742544"
"visible","15741542"
"cats","15735084"
"desert","15732752"
"postposted","15722718"
"ya","15718531"
"oldest","15717579"
"rhode","15717565"
"nba","15714432"
"busty","15705827"
"coordinator","15702834"
"obviously","15702193"
"mercury","15697468"
"steven","15696875"
"handbook","15687517"
"greg","15681408"
"navigate","15678579"
"worse","15677739"
"summit","15676832"
"victims","15672487"
"epa","15664730"
"spaces","15660073"
"fundamental","15644603"
"burning","15637551"
"escape","15631531"
"coupons","15627914"
"somewhat","15620893"
"receiver","15617699"
"substantial","15617578"
"tr","15614045"
"progressive","15612754"
"cialis","15610754"
"bb","15607299"
"boats","15600762"
"glance","15569554"
"scottish","15566389"
"championship","15559558"
"arcade","15549676"
"richmond","15546998"
"sacramento","15546396"
"impossible","15545255"
"ron","15544519"
"russell","15535983"
"tells","15534490"
"obvious","15533662"
"fiber","15530318"
"depression","15527836"
"graph","15526746"
"covering","15524533"
"platinum","15499095"
"judgment","15494434"
"bedrooms","15492873"
"talks","15484166"
"filing","15480156"
"foster","15478056"
"modeling","15474514"
"passing","15467267"
"awarded","15460775"
"testimonials","15457627"
"trials","15454182"
"tissue","15448105"
"nz","15445373"
"memorabilia","15439034"
"clinton","15436647"
"masters","15434147"
"bonds","15431252"
"cartridge","15408708"
"alberta","15407660"
"explanation","15397428"
"folk","15396094"
"org","15392460"
"commons","15387811"
"cincinnati","15387448"
"subsection","15382965"
"fraud","15378751"
"electricity","15377549"
"permitted","15372818"
"spectrum","15371128"
"arrival","15370734"
"okay","15368116"
"pottery","15362084"
"emphasis","15360894"
"roger","15353411"
"aspect","15351221"
"workplace","15350829"
"awesome","15350104"
"mexican","15347885"
"confirmed","15335457"
"counts","15329536"
"priced","15326748"
"wallpapers","15310025"
"hist","15307332"
"crash","15302627"
"lift","15291571"
